X,Y,U
-1,1,0
0,1,0
0,0,0
1,0,0
1,-1,0
-1,-1,0
1,-0.9,0
1,-0.8,0
1,-0.7,0
1,-0.6,0
1,-0.5,0
1,-0.4,0
1,-0.3,0
1,-0.2,0
1,-0.1,0
0,0.1,0
0,0.2,0
0,0.3,0
0,0.4,0
0,0.5,0
0,0.6,0
0,0.7,0
0,0.8,0
0,0.9,0
0.9,0,0
0.8,0,0
0.7,0,0
0.6,0,0
0.5,0,0
0.4,0,0
0.3,0,0
0.2,0,0
0.1,0,0
-0.9,-1,0
-0.8,-1,0
-0.7,-1,0
-0.6,-1,0
-0.5,-1,0
-0.4,-1,0
-0.3,-1,0
-0.2,-1,0
-0.1,-1,0
0,-1,0
0.1,-1,0
0.2,-1,0
0.3,-1,0
0.4,-1,0
0.5,-1,0
0.6,-1,0
0.7,-1,0
0.8,-1,0
0.9,-1,0
-1,0.9,0
-1,0.8,0
-1,0.7,0
-1,0.6,0
-1,0.5,0
-1,0.4,0
-1,0.3,0
-1,0.2,0
-1,0.1,0
-1,0,0
-1,-0.1,0
-1,-0.2,0
-1,-0.3,0
-1,-0.4,0
-1,-0.5,0
-1,-0.6,0
-1,-0.7,0
-1,-0.8,0
-1,-0.9,0
-0.1,1,0
-0.2,1,0
-0.3,1,0
-0.4,1,0
-0.5,1,0
-0.6,1,0
-0.7,1,0
-0.8,1,0
-0.9,1,0
-0.25165,-0.39236,0.14791
-0.39832,-0.068556,0.13981
-0.065544,-0.40256,0.13976
-0.31821,-0.20154,0.14474
-0.9134,0.05,0.039889
-0.9134,-0.05,0.040435
-0.9134,0.15,0.039024
-0.9134,-0.15,0.040607
-0.9134,0.25,0.037852
-0.9134,-0.25,0.04031
-0.9134,0.35,0.036338
-0.9134,-0.35,0.039422
-0.9134,0.45,0.034386
-0.9134,-0.45,0.037788
-0.9134,0.55,0.031833
-0.9134,-0.55,0.03522
-0.9134,0.65,0.028426
-0.9134,-0.65,0.031469
-0.91087,0.75359,0.024155
-0.91066,-0.75314,0.026691
-0.91776,0.84993,0.016444
-0.91835,-0.84913,0.017865
-0.9317,0.9317,0.0077829
-0.9317,-0.9317,0.0083503
-0.84913,0.91835,0.016328
-0.84993,-0.91776,0.017908
-0.75282,0.91011,0.023919
-0.7528,-0.90977,0.026945
-0.65,0.9134,0.027075
-0.65,-0.9134,0.031469
-0.55039,0.91228,0.029205
-0.55038,-0.91232,0.035604
-0.45,0.9134,0.028896
-0.45,-0.9134,0.037788
-0.34855,0.9129,0.027213
-0.35,-0.9134,0.039422
-0.24649,0.91089,0.023758
-0.25,-0.9134,0.04031
-0.15087,0.91835,0.016366
-0.15,-0.9134,0.040607
-0.068301,0.9317,0.007799
-0.05,-0.9134,0.040435
0.05,-0.9134,0.039889
-0.082241,0.84993,0.016492
0.15,-0.9134,0.039024
-0.090038,0.75288,0.024513
0.25,-0.9134,0.037852
-0.086603,0.65,0.02863
0.35,-0.9134,0.036338
-0.08779,0.5504,0.032601
0.45,-0.9134,0.034386
-0.086603,0.45,0.035129
0.55,-0.9134,0.031833
-0.086603,0.35,0.037777
0.65,-0.9134,0.028426
-0.086603,0.25,0.040725
0.75363,-0.91076,0.024179
-0.086919,0.14737,0.045429
0.84993,-0.91776,0.016444
-0.085029,0.043275,0.055222
0.9317,-0.9317,0.0077829
0.043275,-0.085029,0.055211
0.14756,-0.086992,0.045451
0.91835,-0.84913,0.016328
0.25,-0.086603,0.040725
0.90987,-0.75251,0.02399
0.35,-0.086603,0.037777
0.9134,-0.65,0.027075
0.45,-0.086603,0.035129
0.91176,-0.5504,0.029358
0.55,-0.086603,0.032222
0.91188,-0.44972,0.02934
0.65,-0.086603,0.02863
0.9134,-0.35,0.027115
0.7534,-0.08918,0.024284
0.91003,-0.24719,0.023991
0.84993,-0.082241,0.016492
0.91835,-0.15087,0.016366
0.9317,-0.068301,0.007799
-0.063547,-0.063956,0.075218
-0.82679,-1.85E-17,0.073161
-0.82679,0.1,0.071713
-0.82679,-0.1,0.073955
-0.82679,0.2,0.069688
-0.82679,-0.2,0.07394
-0.82679,0.3,0.067066
-0.82679,-0.3,0.072893
-0.82679,0.4,0.063724
-0.82679,-0.4,0.070539
-0.82679,0.5,0.05942
-0.82679,-0.5,0.066548
-0.82616,0.60247,0.053756
-0.82548,-0.60142,0.060776
-0.82681,0.70428,0.045804
-0.82596,-0.70287,0.051804
-0.8156,0.81525,0.035387
-0.81499,-0.81525,0.03962
-0.70274,0.82264,0.045592
-0.70181,-0.82189,0.05285
-0.60168,0.82228,0.051228
-0.60081,-0.82152,0.061911
-0.49981,0.82606,0.0522
-0.49934,-0.82523,0.067064
-0.4,0.82679,0.05035
-0.4,-0.82679,0.070539
-0.29544,0.82678,0.044763
-0.3,-0.82679,0.072893
-0.18445,0.81555,0.035469
-0.2,-0.82679,0.07394
-0.1,-0.82679,0.073955
0,-0.82679,0.073161
0.1,-0.82679,0.071713
0.2,-0.82679,0.069688
-0.17812,0.7025,0.047169
0.3,-0.82679,0.067066
-0.17832,0.60138,0.055352
0.4,-0.82679,0.063724
-0.17376,0.49988,0.060484
0.5,-0.82679,0.05942
-0.17321,0.4,0.065449
0.6,-0.82679,0.053768
-0.17321,0.3,0.07037
0.70377,-0.8272,0.045774
-0.17321,0.2,0.076116
0.81559,-0.81502,0.035417
-0.17409,0.092605,0.085501
0.094079,-0.17475,0.085563
0.2,-0.17321,0.076116
0.3,-0.17321,0.07037
0.82082,-0.70203,0.045995
0.4,-0.17321,0.065449
0.8205,-0.60124,0.051638
0.5,-0.17321,0.060328
0.82509,-0.5,0.052427
0.6,-0.17321,0.054247
0.82207,-0.39844,0.051351
0.70341,-0.17335,0.046159
0.8223,-0.2973,0.045773
0.81517,-0.18435,0.035506
-0.17037,-0.020035,0.10003
-0.0141,-0.17314,0.099847
-0.74019,0.05,0.09808
-0.74019,-0.05,0.099895
-0.74019,0.15,0.095439
-0.74019,-0.15,0.10069
-0.74019,0.25,0.092031
-0.74019,-0.25,0.10018
-0.74102,0.35247,0.087462
-0.74019,-0.35,0.097967
-0.74025,0.45321,0.082165
-0.74019,-0.45,0.093615
-0.74023,0.55326,0.075169
-0.73899,-0.55188,0.086728
-0.73759,0.65642,0.066019
-0.73526,-0.65233,0.077033
-0.74721,0.74524,0.053866
-0.74584,-0.74305,0.062232
-0.65236,0.72159,0.067177
-0.65126,-0.72037,0.080041
-0.54795,0.73988,0.069457
-0.54552,-0.73774,0.08756
-0.44815,0.73818,0.069734
-0.44841,-0.73825,0.094197
-0.3465,0.73828,0.064602
-0.35,-0.74019,0.097967
-0.25504,0.74708,0.054097
-0.25,-0.74019,0.10018
-0.15,-0.74019,0.10069
-0.05,-0.74019,0.099895
0.05,-0.74019,0.09808
0.15,-0.74019,0.095439
0.25,-0.74019,0.092031
-0.27972,0.65219,0.069375
0.34994,-0.74337,0.087066
-0.26131,0.54691,0.076698
0.45036,-0.74238,0.081908
-0.2585,0.44924,0.083542
0.55,-0.74019,0.075434
-0.25723,0.35015,0.089768
0.65243,-0.73903,0.066227
-0.25981,0.25,0.096821
0.74352,-0.74689,0.054142
-0.26242,0.14708,0.10503
0.1479,-0.26335,0.10517
0.25,-0.25981,0.096821
0.35,-0.25981,0.090339
0.71784,-0.65213,0.067777
0.45,-0.25981,0.083751
0.73573,-0.547,0.070225
0.5524,-0.25995,0.075994
0.73859,-0.45252,0.069764
0.65316,-0.26397,0.066985
0.7221,-0.34659,0.067211
0.7438,-0.25316,0.054319
-0.13813,-0.14368,0.1161
-0.26633,0.040301,0.11578
0.040883,-0.26862,0.11618
-0.65359,-3.70E-17,0.1182
-0.64943,0.099993,0.11577
-0.65359,-0.1,0.12028
-0.65359,0.2,0.11106
-0.65359,-0.2,0.12092
-0.6574,0.30408,0.10539
-0.65291,-0.30256,0.11973
-0.65465,0.4073,0.099563
-0.65611,-0.40161,0.11533
-0.65326,0.50924,0.091949
-0.65311,-0.5028,0.10895
-0.65622,0.61138,0.081491
-0.65196,-0.6062,0.098014
-0.49909,0.65118,0.084426
